Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.unions,4568512500,304692212,7840436,6795146,105906176
All.union,4559590625,377308520,7840376,6797988,105906176
All.difference,2529058203,228643190,5601774,1564125,105906176
All.symmetricDifference,2632178906,170699332,5253843,1249658,105906176
All.intersection,2506788671,78250150,5235334,1268603,105906176
All.disjoint:false,102679,7418,584,0,105906176
All.disjoint:true,1646155468,131480796,3869968,3673,105906176
All.isSubsetOf:false,109961,7730,1184,0,105906176
All.isSubsetOf:true,1461570312,132155110,3048291,2487,105906176
All.null.intersection:false,2505819531,109630220,5235334,764081,105906176
All.null.intersection:true,1422246484,92954918,4992559,4619,105906176
