Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.unions,82519970,7758106,488852,10244,10485760
All.union,81981738,7726226,488796,10264,10485760
All.difference,84069653,7629816,350785,3469,10485760
All.symmetricDifference,88333984,4720526,327305,2974,10485760
All.intersection,86521289,3317088,329224,2970,10485760
All.disjoint:false,397336,26476,2024,0,10485760
All.disjoint:true,84059423,7931270,242027,132,10485760
All.isSubsetOf:false,93159,6494,904,0,10485760
All.isSubsetOf:true,38409082,3307916,192105,87,10485760
All.null.intersection:false,86382861,7217432,329227,2967,10485760
All.null.intersection:true,70325830,6896216,311907,167,10485760
