Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.unions,80693050000,7791131654,125509465,90547220,1248854016
All.union,101337500000,6542595146,125504298,130174422,1656750080
All.difference,69816575000,5582790918,89666020,38364951,1656750080
All.symmetricDifference,64089928125,3619760816,83938543,53366514,1656750080
All.intersection,63050579687,2365047172,83919222,55187976,1656750080
All.disjoint:false,676558,61634,3824,1,1656750080
All.disjoint:true,28635269531,1751662282,61961642,84884,1656750080
All.isSubsetOf:false,137026,13170,1464,0,1656750080
All.isSubsetOf:true,38142423535,383498104,48768387,61651,1656750080
All.null.intersection:false,61519173437,3244904984,83919223,52114202,1656750080
All.null.intersection:true,27037800000,346513670,79937443,105283,1656750080
